"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-01-14 - 2015-01-14","1465519","0.00932875319026651","11166632","0.07108113500714225","38432031","0.2446388834260568","101068951","0.6433538555816333","4963852","0.031597372794901185"
"2015-01-15 - 2015-01-15","1451873","0.009448870623870958","10780360","0.0701591853548854","37573481","0.24453031419240773","98956637","0.6440153239204546","4893367","0.031846305908381486"
"2015-01-16 - 2015-01-16","1388788","0.00948130530957139","10412720","0.07108801157777875","36079878","0.24631861655637","93796415","0.6403514773732647","4798655","0.032760589183015186"
"2015-01-17 - 2015-01-17","1033768","0.008581799319659248","8807215","0.07311287609511295","29797127","0.24736010808653414","76583169","0.6357532711609851","4239240","0.03519194533770853"
"2015-01-18 - 2015-01-18","1107599","0.008400668947480178","9539951","0.07235648472613507","32651850","0.24765044241894463","84168935","0.6383856960840317","4378189","0.03320670782340837"
"2015-01-19 - 2015-01-19","1521627","0.009524623199109178","11132431","0.06968344447429113","39187848","0.24529630861174534","102942524","0.6443686608250598","4972756","0.031126962889794517"
"2015-01-20 - 2015-01-20","1520336","0.009512837913070563","11270616","0.07052095272917283","38996676","0.2440046528770804","103064975","0.6448840267478174","4966792","0.03107752973285877"
"2015-01-21 - 2015-01-21","1509653","0.009560861355993502","11255085","0.07128015990093228","38118983","0.24141329927769706","102064089","0.6463873515004981","4951457","0.03135832796487903"
"2015-01-22 - 2015-01-22","1475784","0.009429975928380428","11119601","0.07105211180172366","37771851","0.2413548633813432","101248092","0.6469558352404193","4883905","0.031207213648133343"
"2015-01-23 - 2015-01-23","1406038","0.009477892197201779","10672812","0.0719438319426655","35683089","0.24053437446580866","95739695","0.6453669873808378","4847595","0.03267691401348638"
"2015-01-24 - 2015-01-24","1039111","0.008439858240147771","9225017","0.07492735207591228","29711500","0.24132248441422577","78849289","0.6404290027691393","4294568","0.03488130250057495"
"2015-01-25 - 2015-01-25","1101260","0.008240599710568073","9944423","0.07441295361274039","32086131","0.24009676355433707","86066340","0.6440243507379306","4440178","0.033225332384423954"
"2015-01-26 - 2015-01-26","1544758","0.009414959890619669","11716755","0.07141104197111615","39235308","0.23913056356795628","106398734","0.6484768572311722","5179281","0.03156657733913566"
"2015-01-27 - 2015-01-27","1518978","0.0094315003523328","11544873","0.07168337774947196","38482138","0.23893979906589788","104449000","0.6485352521898333","5058708","0.031410070642464046"
"2015-01-28 - 2015-01-28","1486600","0.009382222788182158","11323157","0.07146265413666375","37895046","0.23916303251742976","102737172","0.6483943470548836","5006618","0.0315977435028407"
"2015-01-29 - 2015-01-29","1455967","0.00932373900551924","11123576","0.07123328992487996","37349981","0.2391822580491883","101299284","0.6487015745974812","4928180","0.03155913842293116"
"2015-01-30 - 2015-01-30","1366633","0.009282435606644683","10612173","0.0720799311293327","35168427","0.238870756826803","95267614","0.6470760565226228","4812999","0.03269081991459686"
"2015-01-31 - 2015-01-31","1028952","0.008510759375464742","9007123","0.07450051753455372","28936053","0.23933845734173675","77688755","0.6425861458886648","4239257","0.03506411985957998"
"2015-02-01 - 2015-02-01","1117187","0.008493672528073428","9706715","0.07379754556160988","31384236","0.23860591210582746","84890817","0.6454020680858341","4432723","0.03370080171865518"
"2015-02-02 - 2015-02-02","1513298","0.00943644088781256","11460106","0.0714615448094599","38494331","0.24003829979117833","103870757","0.6477047206847844","5028962","0.031358993826764874"
"2015-02-03 - 2015-02-03","1506341","0.009478134991395727","11323318","0.0712481015616657","38107274","0.23977697422170985","102994041","0.6480547392040356","4997022","0.03144205002119325"
"2015-02-04 - 2015-02-04","1478734","0.009375203375959297","11273282","0.07147283518505775","37749262","0.2393310822246408","102249419","0.6482633781320214","4977508","0.031557501082320694"
"2015-02-05 - 2015-02-05","1480925","0.00946948437120568","11171006","0.07143080623775334","37573151","0.2402541426280541","101244428","0.6473876317961129","4919681","0.03145793496687377"
"2015-02-06 - 2015-02-06","1388188","0.009455803324674748","10593972","0.07216206714012165","35349981","0.24079048937679132","94589204","0.6443053171915749","4886700","0.03328632296683741"
"2015-02-07 - 2015-02-07","1030617","0.008629770898852765","8934842","0.07481502777214759","28935240","0.24228640911543325","76240623","0.638393418385108","4284444","0.03587537382845842"
"2015-02-08 - 2015-02-08","1115515","0.008454475380595582","9742516","0.0738384169348315","31827939","0.24122358434498684","84708886","0.6420076746656727","4548872","0.03447584867391347"
"2015-02-09 - 2015-02-09","1557675","0.009470435476119057","11805760","0.07177728879679478","39579104","0.24063514573618094","106267574","0.6460912595828444","5267540","0.03202587040806085"
"2015-02-10 - 2015-02-10","1536689","0.009493266654585887","11613683","0.07174632574374581","39038236","0.24116811148687498","104573892","0.6460304211612538","5108967","0.03156187495353953"
"2015-02-11 - 2015-02-11","1504807","0.00951344782309075","11365201","0.07185123853918729","38341196","0.24239451811487836","101929584","0.644402756641447","5036040","0.03183803888139671"
